championId,role,winRate,pickRate,metaScore,sampleSize,tier
Garen,top,52.2,9.6,80,3530140,S
malphite,top,51.4,7.3,76,2685676,S
Teemo,top,51.4,6.2,75,2270496,S
Sett,top,51.6,6,75,2222412,S
DrMundo,top,51.5,3.9,66,1432912,S
ornn,top,51.6,3.6,66,1325559,S
Kayle,top,52,2.8,64,1016543,S
Sion,top,50.8,5.2,63,1910826,S
Yone,top,50.1,7.1,62,2607462,S
Yorick,top,50.8,4.9,62,1807952,S
Singed,top,52.1,2.3,62,858077,A
Illaoi,top,51.4,3.3,61,1205317,A
Jax,top,50.4,5.7,60,2096666,A
Aatrox,top,50.3,5.8,59,2136373,A
shen,top,51.3,3.5,59,1292541,A
Tryndamere,top,51.1,3.7,58,1343519,A
Mordekaiser,top,50.2,5.7,56,2106624,A
darius,top,49.5,7.6,54,2782766,A
Gangplank,top,50.1,4.9,54,1788790,A
Urgot,top,51.2,2.5,54,926282,A
Warwick,top,51.9,1.4,54,521405,A
Irelia,top,50.2,4,53,1469482,A
Nasus,top,50.4,3.7,53,1346585,A
Olaf,top,51.1,2.4,53,870885,A
Renekton,top,50.1,4.5,52,1653089,A
Heimerdinger,top,51,1.6,42,606489,B
Akali,top,50,2.6,41,966654,B
Pantheon,top,50.2,2.5,41,926411,B
TahmKench,top,50.3,2.4,41,868623,B
Kled,top,51.2,1.4,41,505482,B
MonkeyKing,top,51.3,1.1,39,399417,B
Volibear,top,49.7,3.2,38,1169534,B
Chogath,top,50,2.6,38,969096,B
Zaahen,top,49.9,2.6,36,952891,B
Fiora,top,49.6,2.8,35,1038004,B
Camille,top,50.1,2.1,35,777281,B
Naafiri,top,50.7,0.8,34,293254,B
Vayne,top,48.9,3.3,32,1205398,B
Riven,top,48.9,3,30,1120131,B
yasuo,top,48.8,3,30,1097913,B
Gwen,top,49.4,2.3,29,832005,B
Jayce,top,48.2,4.2,28,1537158,B
Gnar,top,48.8,3,27,1091092,B
Poppy,top,50.4,1,23,378934,B
Quinn,top,50.5,1,23,360286,C
KSante,top,47.2,3.9,20,1446856,C
Ambessa,top,48.8,2.4,20,882972,B
Gragas,top,48.8,1.9,20,702652,C
Rumble,top,47.6,1.8,20,664357,C
Trundle,top,49.1,1.8,20,660717,C
XinZhao,top,47.9,1.7,20,628636,C
Kennen,top,49.5,1.4,20,532058,C
Vladimir,top,49,1.3,20,467894,C
Varus,top,48.2,1.1,20,399497,C
MasterYi,top,47.7,0.9,20,324808,C
Malzahar,top,50,0.7,20,242307,C
Anivia,top,50.5,0.6,20,238795,C
Ryze,top,48.7,0.6,20,233215,C
Cassiopeia,top,50.2,0.5,20,193791,C
Lissandra,top,50.8,0.5,20,189785,C
Udyr,top,48.2,0.5,20,194961,C
Nocturne,jungle,51.9,8,79,2947723,S
Briar,jungle,52.2,5.7,78,2095125,S
